1000,1001,1010,1011
5,1,6,0
4,1,6,0
1,3,6,5
2,3,5,1
4,2,14,2
3,5,12,1
5,4,0,1
5,3,1,1
7,1,0,0
5,1,1,0
7,2,11,1
7,3,5,1
0,4,2,0
2,4,11,1
12,3,17,6
13,6,19,0
3,0,7,0
6,1,4,0
1,0,7,0
7,0,8,0
5,0,10,0
3,0,8,1
0,0,13,0
3,7,10,2
5,12,2,0
6,15,1,0
1,14,1,1
5,0,16,0
9,0,10,0
7,2,41,0
10,2,43,0
2,1,13,1
2,3,11,0
3,0,5,1
2,0,5,0
2,0,4,1
3,1,1,0
2,1,2,0
6,0,10,0
3,3,7,0
4,4,4,1
1,4,5,1
6,5,1,0
1,0,7,0
4,2,3,0
3,4,3,1
0,8,0,0
3,9,2,5
1,9,4,1
0,3,4,5
0,3,3,7
1,3,3,5
0,6,5,3
2,11,1,1
1,6,3,1
1,6,5,2
7,3,4,1
1,5,4,0
3,0,7,0
2,5,6,0
0,9,1,1
3,7,4,1
2,8,0,5
1,10,4,3
4,10,3,2
1,18,1,0
1,13,0,0
0,11,0,0
1,12,0,0
8,6,0,0
3,8,0,0
9,7,7,1
0,3,22,3
40,34,140,12
63,93,69,13
5,3,11,0
2,3,12,0
3,3,4,2
12,2,14,0
6,4,14,3
6,6,5,2
11,9,10,4
92,76,15,8
5,9,1,2
27,10,41,8
8,4,56,1
3,8,15,4
9,14,39,3
108,88,19,10
5,9,1,2
27,10,41,8
96,11,106,4
87,22,91,11
104,12,113,1
112,36,49,6
95,16,109,5
134,12,49,7
92,10,111,4
126,7,59,16
112,11,131,1
132,11,101,2
54,23,99,13
46,16,56,10
51,116,38,39
1,21,1,1
2,18,0,1
2,14,4,2
4,12,3,1
1,5,3,0
6,4,7,1
5,14,0,1
3,15,0,0
6,11,2,0
1,19,2,1
2,19,2,1
1,20,2,0
0,25,0,0
3,53,1,0
2,17,1,0
1,8,0,1
3,0,2,0
3,1,2,0
0,1,0,0
0,6,2,0
1,17,3,0
3,8,0,0
0,0,1,0
1,7,0,1
0,0,1,0
9,9,33,2
0,8,14,0
4,4,4,0
2,16,1,0
3,4,5,0
4,7,2,0
1,14,1,1
1,17,1,0
4,9,2,0
3,5,3,0
4,11,0,1
0,16,2,0
5,10,1,0
1,12,3,0
0,17,1,0
4,12,0,3
1,5,3,1
3,6,5,4
2,17,1,0
2,14,1,0
6,5,3,0
2,4,2,0
1,15,1,0
6,1,9,0
3,3,4,1
1,5,3,3
3,6,3,2
7,4,12,1
8,6,4,2
47,110,64,18
38,24,144,14
28,148,35,17
12,252,5,8
6,20,1,0
4,15,2,1
8,5,7,3
6,15,2,1
5,3,5,1
5,42,1,2
5,34,4,5
2,24,0,0
1,32,0,0
0,22,4,0
2,20,0,0
1,16,0,0
2,13,1,0
3,19,1,0
3,19,2,0
1,16,2,0
1,10,1,0
2,10,1,0
4,1,11,2
1,2,14,1
0,7,7,1
6,168,4,2
1,9,0,2
6,2,0,1
5,1,0,3
5,0,1,0
19,10,11,1
11,11,13,2
3,0,8,0
5,2,4,0
4,4,3,1
7,2,5,1
7,1,5,2
3,16,1,3
11,25,11,3
0,10,8,2
14,34,17,17
18,1,5,12
9,34,9,3
82,78,127,37
41,74,111,37
41,78,58,41
71,19,46,4
18,23,67,5
18,12,48,4
3,21,1,1
0,11,2,2
0,3,10,0
0,14,1,3
1,5,5,1
2,12,1,3
3,8,5,0
0,8,5,0
5,1,9,0
38,22,150,14
4,4,9,3
0,3,22,3
15,13,14,10
11,18,8,8
7,8,10,3
4,14,6,6
5,12,6,7
5,12,6,3
7,13,11,6
4,10,7,2
41,34,100,3