"0000","0001","0010","0011","0100","0101","0110","0111","1000","1001","1010","1011","1100","1101","1110","1111"
0,0,0,0,0,0,0,0,5,1,6,0,1,0,0,0
0,0,0,0,0,0,0,0,4,1,6,0,1,0,0,1
0,0,1,0,0,0,0,0,1,0,7,0,1,0,0,2
0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0
0,2,0,0,0,1,0,0,3,53,1,0,0,0,0,0
2,1,1,2,0,1,0,0,11,25,11,3,2,0,1,0
1,0,2,0,0,4,0,1,7,2,41,0,0,0,0,2
0,0,1,0,0,1,0,0,10,2,43,0,0,0,1,2
0,0,1,2,1,0,13,0,0,1,0,0,0,0,0,1
0,0,0,2,0,1,1,2,0,6,2,0,1,2,0,8
0,0,0,1,0,0,0,0,1,17,3,0,4,0,0,1
0,0,0,0,0,1,0,0,3,8,0,0,0,0,0,1
0,0,1,0,0,0,8,0,0,0,1,0,1,0,2,0
0,1,0,0,1,0,1,0,1,7,0,1,0,1,0,0
0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0
0,0,3,0,1,0,1,0,2,0,5,0,0,0,0,1
0,1,2,0,0,1,0,0,2,0,4,1,1,0,0,0
0,3,0,1,1,3,1,0,3,1,1,0,1,1,0,0
0,1,4,1,0,2,2,0,2,1,2,0,1,0,0,0
0,1,0,1,0,0,0,0,6,0,10,0,2,0,0,0
0,0,0,0,2,1,3,0,3,3,7,0,0,0,0,1
0,1,4,0,0,1,0,0,4,4,4,1,1,0,0,0
0,1,2,1,3,0,2,0,1,4,5,1,0,0,0,0
0,3,3,0,0,0,2,0,6,5,1,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,7,0,0,0,0,3
1,1,0,0,0,0,0,0,4,2,3,0,1,0,0,0
0,1,0,0,0,0,0,0,3,4,3,1,0,0,0,0
0,0,1,0,0,1,1,0,0,8,0,0,1,0,0,0
2,1,1,1,5,1,0,1,0,8,14,0,1,5,0,5
0,7,1,0,1,9,1,1,4,4,4,0,1,3,0,8
8,4,4,4,12,12,0,4,82,79,128,37,8,0,4,25
0,25,0,29,4,8,12,0,37,74,112,29,16,8,8,49
8,12,16,8,8,25,12,4,41,79,58,41,16,0,0,83
4,7,4,4,0,4,0,0,71,19,46,4,4,0,0,12
11,0,0,5,0,12,5,4,18,23,67,5,9,0,0,18
9,21,0,0,0,5,5,4,18,12,48,4,9,0,0,42
0,1,0,0,0,0,2,0,1,13,0,0,0,0,0,0
0,1,0,0,1,0,3,0,0,11,0,0,0,0,0,1
0,0,0,0,0,0,1,3,1,12,0,0,0,0,0,0
1,0,1,0,0,0,0,0,8,6,0,0,1,0,0,0
0,0,0,0,0,1,0,2,3,8,0,0,1,0,1,1
0,0,0,0,0,1,0,0,3,21,1,1,0,0,0,0
0,0,2,0,0,0,0,0,9,7,7,1,0,0,1,0
0,0,1,0,1,0,0,0,0,11,2,2,0,0,0,0
0,1,0,0,2,0,0,0,0,3,10,0,0,0,1,2
0,0,0,0,0,0,1,0,0,14,1,3,0,0,1,0
0,2,0,0,0,1,1,0,1,5,5,1,0,0,3,1
0,0,0,0,0,0,3,0,2,12,1,3,0,0,0,0
1,0,1,1,0,1,0,0,3,8,5,0,1,0,0,0
0,0,0,1,1,2,2,0,0,8,5,0,2,0,0,0
0,0,0,1,0,0,3,0,5,1,9,0,0,0,0,2
0,1,2,0,0,0,1,0,2,7,6,0,0,0,0,0
0,2,0,1,0,0,0,0,6,8,0,1,0,0,0,0
0,1,1,1,0,0,0,0,3,8,0,1,0,0,0,0
0,0,0,1,0,1,0,0,5,3,11,0,0,0,0,3
0,1,1,0,0,0,0,3,4,4,9,3,0,0,0,0
0,0,0,0,0,0,0,0,2,3,12,0,0,0,0,3
0,0,1,1,0,0,2,0,3,3,4,2,2,0,0,2
0,0,1,0,0,1,1,0,12,2,14,0,0,0,0,9
5,1,0,0,0,1,1,0,15,13,14,10,3,0,0,0
7,4,2,0,0,0,1,0,5,34,4,5,1,0,0,0
6,2,2,1,0,3,2,0,11,18,8,8,0,0,1,1
8,0,0,0,0,1,1,0,6,4,14,3,0,1,1,2
9,1,0,0,1,1,0,0,6,6,5,2,0,0,1,0
7,1,0,1,1,1,0,1,11,9,10,4,0,0,0,1
4,0,2,0,1,1,2,0,7,8,10,3,0,0,0,0
10,0,0,0,0,0,0,0,4,14,6,6,0,0,2,0
8,0,0,1,0,0,0,0,5,12,6,7,1,0,0,0
12,0,1,0,0,0,1,0,5,12,6,3,0,0,1,0
4,0,2,0,0,0,1,0,7,13,11,6,1,0,1,0
8,0,0,0,0,0,1,0,4,10,7,2,0,1,0,0
0,7,0,0,0,0,0,0,2,24,0,0,0,0,2,0
0,0,0,0,0,0,1,0,1,32,0,0,0,0,0,1
0,3,0,0,0,0,1,0,0,22,4,0,0,0,0,0
0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,16,0,0,0,0,0,0
0,1,1,0,0,0,0,0,2,13,1,0,0,0,0,0
0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,0
0,0,0,0,0,0,0,0,3,19,2,0,0,0,0,0
0,0,1,0,0,0,0,0,1,16,2,0,0,0,0,0
0,2,0,0,0,1,0,0,1,10,1,0,3,0,0,4
0,1,0,0,1,1,1,1,2,10,1,0,0,1,1,0
0,0,0,0,0,0,0,0,4,1,11,2,1,0,1,0
0,0,0,0,0,0,0,0,1,2,14,1,1,0,0,1
0,3,1,0,0,0,0,0,0,7,7,1,1,0,0,0
0,6,1,0,0,1,0,0,6,168,4,2,0,0,0,1
0,0,3,0,0,3,0,0,41,34,100,3,1,0,0,4
10,6,20,3,7,11,1,1,96,11,106,4,5,1,1,17
5,4,29,4,8,18,6,0,87,22,91,11,6,1,1,28
13,7,20,4,11,13,4,1,104,12,113,1,6,2,0,11
5,9,11,9,13,11,7,8,112,36,49,6,11,1,1,11
9,11,28,4,10,20,4,2,95,16,109,5,4,2,1,15
16,21,33,4,5,2,2,0,134,12,49,7,7,1,3,4
11,8,17,4,4,17,1,2,92,10,111,4,5,0,2,12
12,9,42,5,14,4,0,0,126,7,59,16,1,0,1,5
9,7,26,2,5,16,3,2,112,11,131,1,5,1,2,12
9,9,24,3,5,19,0,3,132,11,101,2,3,1,5,12
8,7,67,11,5,10,2,1,54,23,99,13,5,2,1,16
14,8,64,13,8,29,5,2,46,16,56,10,5,3,2,16
